id,Name,title,price,link_item,discount,sold,evaluate,location,timestamp,discount_value,final_price
1,QUần Côn Nam Hàng,QUần Côn Nam Hàng Super,100000,https://www.lazada.vn/products/quan-con-nam-hang-super-i1634618853.html,0.0,75,17,,2024-07-23 13:42:02.199729,0.0,100000.0
2,Quần Jeans nam cao,Quần Jeans nam cao cấp giá sỉ [FREESHIP khi mua hàng] Vải dày và co giãn. MS-0199,100000,https://www.lazada.vn/products/quan-jeans-nam-cao-cap-gia-si-freeship-khi-mua-hang-vai-day-va-co-gian-ms-0199-i2024537715.html,0.68,44,23,China,2024-07-23 13:42:02.199729,68000.0,32000.0
3,Quần short denim dáng,Quần short denim dáng rộng chân thẳng hợp thời trang dành cho nam Quần áo bảo hộ lao động thông thường Phong cách mùa hè cho trang phục dạo phố,104400,https://www.lazada.vn/products/quan-short-denim-dang-rong-chan-thang-hop-thoi-trang-danh-cho-nam-quan-ao-bao-ho-lao-dong-thong-thuong-phong-cach-mua-he-cho-trang-phuc-dao-pho-i2625775322.html,0.43,11,5,Hồ Chí Minh,2024-07-23 13:42:02.199729,44892.0,59508.0
4,M-3XL Mùa Hè Hàn,M-3XL Mùa Hè Hàn Quốc thể thao dáng rộng thường ngày thẳng cắt cỡ lỡn ánh sáng Quần jean xanh dương Quần nam,104600,https://www.lazada.vn/products/m-3xl-mua-he-han-quoc-the-thao-dang-rong-thuong-ngay-thang-cat-co-lon-anh-sang-quan-jean-xanh-duong-quan-nam-i2417972432.html,0.23,64,17,,2024-07-23 13:42:02.199729,24058.0,80542.0
5,QUẦN JEAN NAM CHẤT,QUẦN JEAN NAM CHẤT BÒ XANH ĐẬM WASH THÊU LÁ PHONG ĐỎ SIÊU CO GIÃN SÀNH ĐIỆU D-7188 - DUBAI FASHION,105000,https://www.lazada.vn/products/quan-jean-nam-chat-bo-xanh-dam-wash-theu-la-phong-do-sieu-co-gian-sanh-dieu-d-7188-dubai-fashion-i2539745841.html,0.48,42,14,Hồ Chí Minh,2024-07-23 13:42:02.199729,50400.0,54600.0
6,HOÀN TIỀN 15% -,HOÀN TIỀN 15% - Quần Bò Nam Cotton Ống Suông Quần Jean Nam Trung Niên Ống Đứng Mặc Đi Làm 3 Màu Tiêu Chuẩn,105000,https://www.lazada.vn/products/hoan-tien-15-quan-bo-nam-cotton-ong-suong-quan-jean-nam-trung-nien-ong-dung-mac-di-lam-3-mau-tieu-chuan-i2272543086.html,0.5,10,354,,2024-07-23 13:42:02.199729,52500.0,52500.0
7,QUẦN JEAN NAM CHẤT,QUẦN JEAN NAM CHẤT BÒ XANH ĐẬM WASH THÊU LÁ PHONG ĐỎ SIÊU CO GIÃN SÀNH ĐIỆU HOT TREND CAO CẤP D-7188 - DUBAI FASHION,105000,https://www.lazada.vn/products/quan-jean-nam-chat-bo-xanh-dam-wash-theu-la-phong-do-sieu-co-gian-sanh-dieu-hot-trend-cao-cap-d-7188-dubai-fashion-i2539978099.html,0.48,28,10,,2024-07-23 13:42:02.199729,50400.0,54600.0
8,QUẦN BAGGY JEAN NAM,QUẦN BAGGY JEAN NAM CHẤT BÒ ỐNG SUÔNG RỘNG TÚI HỘP PHONG CÁCH CAO CẤP MỚI -DB 1112 - TOKYO FASHION,105000,https://www.lazada.vn/products/quan-baggy-jean-nam-chat-bo-ong-suong-rong-tui-hop-phong-cach-cao-cap-moi-db-1112-tokyo-fashion-i2189015821.html,0.48,14,5,Hồ Chí Minh,2024-07-23 13:42:02.199729,50400.0,54600.0
9,QUẦN JEAN NAM CHẤT,QUẦN JEAN NAM CHẤT BÒ XANH ĐẬM WASH THÊU LÁ PHONG ĐỎ SIÊU CO GIÃN SÀNH ĐIỆU HOT TREND NHẬT BẢN KIỂU MỚI D-7188 - DUBAI FASHION,105000,https://www.lazada.vn/products/quan-jean-nam-chat-bo-xanh-dam-wash-theu-la-phong-do-sieu-co-gian-sanh-dieu-hot-trend-nhat-ban-kieu-moi-d-7188-dubai-fashion-i2539952196.html,0.48,15,8,,2024-07-23 13:42:02.199729,50400.0,54600.0
10,QUẦN BAGGY JEAN NAM,QUẦN BAGGY JEAN NAM CHẤT BÒ XANH ĐEN LOANG 2 MÀU HÀN QUỐC SEOUL PHONG CÁCH CAO CẤP NEW 2023 - DUBAI FASHION,105000,https://www.lazada.vn/products/quan-baggy-jean-nam-chat-bo-xanh-den-loang-2-mau-han-quoc-seoul-phong-cach-cao-cap-new-2023-dubai-fashion-i1894278457.html,0.42,791,183,China,2024-07-23 13:42:02.199729,44100.0,60900.0
11,QUẦN JEANS ĐEN LOANG,QUẦN JEANS ĐEN LOANG ỐNG RỘNG SUÔNG CHẤT BÒ HÀN QUỐC SEOUL PHONG CÁCH SÀNH ĐIỆU VIP - DUBAI FASHION,105000,https://www.lazada.vn/products/quan-jeans-den-loang-ong-rong-suong-chat-bo-han-quoc-seoul-phong-cach-sanh-dieu-vip-dubai-fashion-i2408919461.html,0.48,38,19,Hồ Chí Minh,2024-07-23 13:42:02.199729,50400.0,54600.0
12,Quần jean nam cao,Quần jean nam cao cấp jean AMIRI thêu đen xám chuẩn đẹp vải dày chất bò,105000,https://www.lazada.vn/products/quan-jean-nam-cao-cap-jean-amiri-theu-den-xam-chuan-dep-vai-day-chat-bo-i246861622.html,0.59,96,32,,2024-07-23 13:42:02.199729,61950.0,43050.0
13,QUẦN JEAN NAM CHẤT,QUẦN JEAN NAM CHẤT BÒ ĐEN KHÓA KIỂU GỐI HÀN QUỐC PHONG CÁCH CAO CẤP NEW TREND 2023 DB-01 - DUBAI FASHION,105000,https://www.lazada.vn/products/quan-jean-nam-chat-bo-den-khoa-kieu-goi-han-quoc-phong-cach-cao-cap-new-trend-2023-db-01-dubai-fashion-i1997560593.html,0.48,759,215,,2024-07-23 13:42:02.199729,50400.0,54600.0
14,Quần Bò Cho Nam,Quần Bò Cho Nam Ngoại Cỡ 5XL 2022 Quần Bò Co Giãn Dáng Rộng Mới Mùa Đông Quần Túi Hộp Thường Ngày Quần Cắt Gấu Xu Hướng Hàn Quốc Buộc Mắt Cá Chân Cho Nam,105000,https://www.lazada.vn/products/quan-bo-cho-nam-ngoai-co-5xl-2022-quan-bo-co-gian-dang-rong-moi-mua-dong-quan-tui-hop-thuong-ngay-quan-cat-gau-xu-huong-han-quoc-buoc-mat-ca-chan-cho-nam-i2056263957.html,0.48,21,8,Hồ Chí Minh,2024-07-23 13:42:02.199729,50400.0,54600.0
15,QUẦN BAGGY JEAN NAM,QUẦN BAGGY JEAN NAM CHẤT BÒ ỐNG SUÔNG RỘNG TÚI HỘP PHONG CÁCH SANG CHẢNH -DB 1112 - TOKYO FASHION,105000,https://www.lazada.vn/products/quan-baggy-jean-nam-chat-bo-ong-suong-rong-tui-hop-phong-cach-sang-chanh-db-1112-tokyo-fashion-i2189041541.html,0.48,71,25,,2024-07-23 13:42:02.199729,50400.0,54600.0
16,Quần Jean Dài Nam,Quần Jean Dài Nam Cotton Ống Suông Form Rộng Đứng Mặc Được Nhiều Lứa Tuổi 3 Màu Tiêu Chuẩn,105900,https://www.lazada.vn/products/quan-jean-dai-nam-cotton-ong-suong-form-rong-dung-mac-duoc-nhieu-lua-tuoi-3-mau-tieu-chuan-i2349086037.html,0.0,129,44,China,2024-07-23 13:42:02.199729,0.0,105900.0
17,Quần Short Denim Nam,Quần Short Denim Nam Mùa Hè 2024 Thời Trang Cổ Điển Quần Short Jean Slim Fit Màu Đen Và Xanh Dương Có Dây Kéo Bay Cho Doanh Nghiệp sử Dụng Thường Ngày,107800,https://www.lazada.vn/products/quan-short-denim-nam-mua-he-2024-thoi-trang-co-dien-quan-short-jean-slim-fit-mau-den-va-xanh-duong-co-day-keo-bay-cho-doanh-nghiep-su-dung-thuong-ngay-i2625212512.html,0.45,38,10,,2024-07-23 13:42:02.199729,48510.0,59290.0
18,Quần JEAN DÀI Nam,"Quần JEAN DÀI Nam Ống suông chất vải jean cotton mềm mịn, form chuẩn đẹp - Có size Bự Jean002",109000,https://www.lazada.vn/products/quan-jean-dai-nam-ong-suong-chat-vai-jean-cotton-mem-min-form-chuan-dep-co-size-bu-jean002-i250632124.html,0.27,308,7464,,2024-07-23 13:42:02.199729,29430.000000000004,79570.0
19,QUẦN JEAN NAM THỜI,QUẦN JEAN NAM THỜI TRANG PHONG CÁCH CAO CẤP GIÁ RẺ VF1355 VIET FASHION,109000,https://www.lazada.vn/products/quan-jean-nam-thoi-trang-phong-cach-cao-cap-gia-re-vf1355-viet-fashion-i603408520.html,0.5,182,43,,2024-07-23 13:42:02.199729,54500.0,54500.0
20,QUẦN JEAN NAM NỮ,QUẦN JEAN NAM NỮ CHẤT BÒ UNISEX ỐNG RỘNG RÁCH VÁ KIỂU MỚI - DUBAI FASHION,109000,https://www.lazada.vn/products/quan-jean-nam-nu-chat-bo-unisex-ong-rong-rach-va-kieu-moi-dubai-fashion-i2488302602.html,0.46,24,13,Hồ Chí Minh,2024-07-23 13:42:02.199729,50140.0,58860.0
21,Quần jean dài nam,Quần jean dài nam ống suông form đẹp,109000,https://www.lazada.vn/products/quan-jean-dai-nam-ong-suong-form-dep-i1744278492.html,0.27,549,154,,2024-07-23 13:42:02.199729,29430.000000000004,79570.0
22,Quần jean Nam Quần,Quần jean Nam Quần Bò Nam Cotton Ống Suông Vải Dày Dặn Form Chuẩn Không Phai Màu Cao Cấp,109000,https://www.lazada.vn/products/quan-jean-nam-quan-bo-nam-cotton-ong-suong-vai-day-dan-form-chuan-khong-phai-mau-cao-cap-i2237752421.html,0.54,15,510,Hong Kong,2024-07-23 13:42:02.199729,58860.00000000001,50139.99999999999
23,Quần Jean nam dài,"Quần Jean nam dài Ống suông vải Jean cotton mềm mịn mặc thoải mái, form chuẩn đẹp - Có size Bự Jeandai003",109000,https://www.lazada.vn/products/quan-jean-nam-dai-ong-suong-vai-jean-cotton-mem-min-mac-thoai-mai-form-chuan-dep-co-size-bu-jeandai003-i272160659.html,0.16,124,2945,,2024-07-23 13:42:02.199729,17440.0,91560.0
24,Quần jean nam xám,Quần jean nam xám trơn thời trang mẫu mới - quần jean nam phong cách chất co dãn nhẹ BINSTORE94 MS87,109000,https://www.lazada.vn/products/quan-jean-nam-xam-tron-thoi-trang-mau-moi-quan-jean-nam-phong-cach-chat-co-dan-nhe-binstore94-ms87-i1771473083.html,0.39,145,44,Hà Nội,2024-07-23 13:42:02.199729,42510.0,66490.0
25,Quần jean nam xanh,Quần jean nam xanh thêu lá 5 cánh chất bò dày dặn co dãn tốt mẫu mới cao cấp-DVFASHION,109000,https://www.lazada.vn/products/quan-jean-nam-xanh-theu-la-5-canh-chat-bo-day-dan-co-dan-tot-mau-moi-cao-cap-dvfashion-i1819518389.html,0.27,164,63,Hồ Chí Minh,2024-07-23 13:42:02.199729,29430.000000000004,79570.0
26,Quần jean Nam Quần,Quần jean Nam Quần Bò Nam Cotton Ống Suông Vải Dày Dặn Form Chuẩn Không Phai Màu Cao Cấp,109000,https://www.lazada.vn/products/quan-jean-nam-quan-bo-nam-cotton-ong-suong-vai-day-dan-form-chuan-khong-phai-mau-cao-cap-i2237723724.html,0.54,13,535,Hồ Chí Minh,2024-07-23 13:42:02.199729,58860.00000000001,50139.99999999999
27,QUẦN JEAN ỐNG RỘNG,QUẦN JEAN ỐNG RỘNG NAM NỮ UNIEX BỤI BẶM ĐƯỜNG PHỐ PHONG CÁCH HÀN QUỐC SÀNH ĐIỆU VIP - DUBAI FASHION,109000,https://www.lazada.vn/products/quan-jean-ong-rong-nam-nu-uniex-bui-bam-duong-pho-phong-cach-han-quoc-sanh-dieu-vip-dubai-fashion-i2352620831.html,0.46,33,14,Hà Nội,2024-07-23 13:42:02.199729,50140.0,58860.0
28,Quần Jean Nam Ống,Quần Jean Nam Ống Suông Quần Bò Denim Ống Đứng Vải Không Giãn Dày Dặn Mềm Mịn Form Chuẩn Không Phai Màu,109000,https://www.lazada.vn/products/quan-jean-nam-ong-suong-quan-bo-denim-ong-dung-vai-khong-gian-day-dan-mem-min-form-chuan-khong-phai-mau-i2403373830.html,0.5,17,578,China,2024-07-23 13:42:02.199729,54500.0,54500.0
29,Quần jean nam chất,Quần jean nam chất denim thời trang cao cấp phong cách hàn quốc mẫu mới bán chạy nhất 2022 BINSTORE94 _MS866,109000,https://www.lazada.vn/products/quan-jean-nam-chat-denim-thoi-trang-cao-cap-phong-cach-han-quoc-mau-moi-ban-chay-nhat-2022-binstore94-_ms866-i2089767685.html,0.48,68,13,Hồ Chí Minh,2024-07-23 13:42:02.199729,52320.0,56680.0
30,[TẶNG VỚ 🧦🧦] Quần,[TẶNG VỚ 🧦🧦] Quần Jean Nam ĐEN RÁCH GỐI PHƯƠNG VI FASHION PV01R - Có Size đại Quần bò nam trơn giá rẻ quần đen nam giá rẻ PHƯƠNG VI FASHION,109000,https://www.lazada.vn/products/tang-vo-quan-jean-nam-den-rach-goi-phuong-vi-fashion-pv01r-co-size-dai-quan-bo-nam-tron-gia-re-quan-den-nam-gia-re-phuong-vi-fashion-i439878493.html,0.45,38,811,,2024-07-23 13:42:02.199729,49050.0,59950.0
31,QUẦN JEAN ỐNG RỘNG,QUẦN JEAN ỐNG RỘNG NAM NỮ UNIEX BỤI BẶM ĐƯỜNG PHỐ PHONG CÁCH SÀNH ĐIỆU VIP - DUBAI FASHION,109000,https://www.lazada.vn/products/quan-jean-ong-rong-nam-nu-uniex-bui-bam-duong-pho-phong-cach-sanh-dieu-vip-dubai-fashion-i2310080235.html,0.46,109,31,,2024-07-23 13:42:02.199729,50140.0,58860.0
32,[HCM]quần jean nam chất,[HCM]quần jean nam chất bò co giãn 4 chiều cao cấp phong cách trẻ trung hàng bao đẹp thời trang Binstore94 ks270,109000,https://www.lazada.vn/products/hcmquan-jean-nam-chat-bo-co-gian-4-chieu-cao-cap-phong-cach-tre-trung-hang-bao-dep-thoi-trang-binstore94-ks270-i1067954373.html,0.48,157,37,,2024-07-23 13:42:02.199729,52320.0,56680.0
33,QUẦN JEAN ỐNG RỘNG,QUẦN JEAN ỐNG RỘNG NAM NỮ UNIEX BỤI BẶM ĐƯỜNG PHỐ PHONG CÁCH HÀN QUỐC HOT TREND 2023 - TOKYO FASHION,109000,https://www.lazada.vn/products/quan-jean-ong-rong-nam-nu-uniex-bui-bam-duong-pho-phong-cach-han-quoc-hot-trend-2023-tokyo-fashion-i2352898154.html,0.46,96,31,,2024-07-23 13:42:02.199729,50140.0,58860.0
34,[HCM]Quần jean nam cao,[HCM]Quần jean nam cao cấp thiết kế hợp thời trang phong cách hàn quốc trẻ trung năng động Binstore94 ks157,109000,https://www.lazada.vn/products/hcmquan-jean-nam-cao-cap-thiet-ke-hop-thoi-trang-phong-cach-han-quoc-tre-trung-nang-dong-binstore94-ks157-i1031870079.html,0.48,152,33,China,2024-07-23 13:42:02.199729,52320.0,56680.0
35,QUẦN JEAN ỐNG RỘNG,QUẦN JEAN ỐNG RỘNG NAM NỮ UNIEX BỤI BẶM ĐƯỜNG PHỐ PHONG CÁCH HOT TREND - DUBAI FASHION,109000,https://www.lazada.vn/products/quan-jean-ong-rong-nam-nu-uniex-bui-bam-duong-pho-phong-cach-hot-trend-dubai-fashion-i2310118005.html,0.46,48,17,Hồ Chí Minh,2024-07-23 13:42:02.199729,50140.0,58860.0
36,Quần Jean Nam Ống,Quần Jean Nam Ống Đứng Quần Bò Nam Cottong Ống Suông Vải Dày Đẹp Form Chuẩn Không Phai Màu Cao Cấp Nhiều Màu,109000,https://www.lazada.vn/products/quan-jean-nam-ong-dung-quan-bo-nam-cottong-ong-suong-vai-day-dep-form-chuan-khong-phai-mau-cao-cap-nhieu-mau-i2660523326.html,0.58,52,17,Hồ Chí Minh,2024-07-23 13:42:02.199729,63219.99999999999,45780.00000000001
37,[HCM]Quần jean nam jogger,[HCM]Quần jean nam jogger quần jogger jean nam thiết kế bó chân phong cách hàn quốc trẻ trung năng động Binstore94 BS451,109000,https://www.lazada.vn/products/hcmquan-jean-nam-jogger-quan-jogger-jean-nam-thiet-ke-bo-chan-phong-cach-han-quoc-tre-trung-nang-dong-binstore94-bs451-i954056502.html,0.48,131,32,,2024-07-23 13:42:02.199729,52320.0,56680.0
38,Quần Jean Nam Ống,Quần Jean Nam Ống Đứng Quần Bò Nam Cotton Ống Suông Vải Dày Đẹp Form Chuẩn Không Phai Màu Cao Cấp Nhiều Màu,109000,https://www.lazada.vn/products/quan-jean-nam-ong-dung-quan-bo-nam-cotton-ong-suong-vai-day-dep-form-chuan-khong-phai-mau-cao-cap-nhieu-mau-i2420727000.html,0.5,157,47,,2024-07-23 13:42:02.199729,54500.0,54500.0
39,[HCM][mẫu mới] Quần jean,[HCM][mẫu mới] Quần jean nam mẫu mới chất bò co giãn siêu HOT phong cách trẻ trung năng động hàng cao cấp thời trang Binstore94 BS450,109000,https://www.lazada.vn/products/hcmmau-moi-quan-jean-nam-mau-moi-chat-bo-co-gian-sieu-hot-phong-cach-tre-trung-nang-dong-hang-cao-cap-thoi-trang-binstore94-bs450-i954024900.html,0.48,130,29,Nước ngoài,2024-07-23 13:42:02.199729,52320.0,56680.0
40,[Mua 2 giảm 5%],[Mua 2 giảm 5%] QUẦN JEAN NAM CO DÃN CHẤT BÒ XANH BẠC LAI THƯỜNG THỜI TRANG RÁCH CƠ BẢN PHONG CÁCH HÀN QUỐC SANG TRỌNG,109000,https://www.lazada.vn/products/mua-2-giam-5-quan-jean-nam-co-dan-chat-bo-xanh-bac-lai-thuong-thoi-trang-rach-co-ban-phong-cach-han-quoc-sang-trong-i2427265509.html,0.48,464,146,,2024-07-23 13:42:02.199729,52320.0,56680.0
41,[Mua 2 giảm 5%],[Mua 2 giảm 5%] QUẦN JEAN NAM CO DÃN CHẤT BÒ ĐEN LAI BO THUN WASH RÁCH KIỂU HÀN QUỐC TRẺ TRUNG NĂNG ĐỘNG,109000,https://www.lazada.vn/products/mua-2-giam-5-quan-jean-nam-co-dan-chat-bo-den-lai-bo-thun-wash-rach-kieu-han-quoc-tre-trung-nang-dong-i2427247027.html,0.48,13,361,,2024-07-23 13:42:02.199729,52320.0,56680.0
